"setup_id","n_games","p1_win_rate","wr_ci_lo","wr_ci_hi","mean_margin"
0,1300,0.501538461538461,0.473996825108512,0.529073127635178,-0.305384615384615
1,1300,0.507692307692308,0.480139812682496,0.535209950964193,0.153846153846154
2,1300,0.470769230769231,0.443343568353967,0.498327333615962,-2.67307692307692
3,1300,0.439230769230769,0.412031274668194,0.466705629190982,-5.02
4,1300,0.536153846153846,0.508604670580645,0.563539211120419,2.17461538461538
5,1300,0.496153846153846,0.468625081995378,0.523700036153245,-1.20230769230769
6,1300,0.545384615384615,0.517855498657953,0.572708091854399,2.7
7,1300,0.441538461538462,0.414318701870118,0.469023126992436,-4.88307692307692
8,1300,0.462307692307692,0.43493199375971,0.489854172835289,-2.94538461538462
9,1300,0.524615384615385,0.49705423492519,0.552065006530028,0.998461538461539
10,1300,0.493846153846154,0.46632386955278,0.521396319508338,-2.06846153846154
11,1300,0.533076923076923,0.505523133677904,0.560480844362785,2.27846153846154
12,1300,0.483076923076923,0.455592523154052,0.510637997455253,-1.47538461538462
13,1300,0.521538461538462,0.493976569505784,0.549002767271365,2.54076923076923
14,1300,0.468461538461538,0.441048726939365,0.49601724696895,-2.19692307692308
15,1300,0.554615384615385,0.527115686762772,0.58186760867031,4.39692307692308
16,1300,0.542307692307692,0.51477085157577,0.569652836391169,4.08230769230769
17,1300,0.496153846153846,0.468625081995378,0.523700036153245,0.337692307692308
18,1300,0.49,0.462489800013999,0.517555507312375,-1.48846153846154
19,1300,0.523846153846154,0.496284721954781,0.551299543351433,0.89
20,1300,0.506923076923077,0.479371714475376,0.534443072819429,1.26692307692308
21,1300,0.473846153846154,0.446404260472188,0.501406545818353,-1.67
22,1300,0.453076923076923,0.425764670434552,0.480601787940525,-4.17230769230769
23,1300,0.443076923076923,0.415843981213343,0.47056779782862,-5.07538461538462
24,1300,0.45,0.422710976179888,0.477515580309424,-4.81384615384615
25,1300,0.501538461538461,0.473996825108512,0.529073127635178,0.340769230769231
26,1300,0.464615384615385,0.437225283536602,0.492165810646563,-2.22
27,1300,0.464615384615385,0.437225283536602,0.492165810646563,-2.86307692307692
28,1300,0.464615384615385,0.437225283536602,0.492165810646563,-1.97153846153846
29,1300,0.546153846153846,0.518626822847783,0.573471743234596,4.46923076923077
30,1300,0.554615384615385,0.527115686762772,0.58186760867031,4.15538461538462
31,1300,0.564615384615385,0.537158180384918,0.591779790019642,4.76
32,1300,0.480769230769231,0.453294588341588,0.508331003523856,-0.542307692307692
33,1300,0.54,0.512458047697433,0.567360713095156,4.26384615384615
34,1300,0.503076923076923,0.475532186724742,0.53060771875905,-0.528461538461538
35,1300,0.465384615384615,0.437989842895944,0.492936227192337,-2.87230769230769
36,1300,0.453076923076923,0.425764670434552,0.480601787940525,-3.43153846153846
37,1300,0.528461538461538,0.500902766582394,0.555891355392153,2.22692307692308
